Article_Name,Link,About,Skills
SAFe vs Scrum discussions — a supposedly Skub debate with quite a lot of implications,https://maciejjarosz.medium.com/safe-vs-scrum-discussions-a-supposedly-skub-debate-with-quite-a-lot-of-implications-a0edf2e18b4a?source=topic_page---------0------------------1----------,Or  how paradigm wars serve business continuity,software engineering
"Why Sharding Gets Hard, and Why You Need Vitess",https://andrewjdawson2016.medium.com/why-sharding-gets-hard-and-why-you-need-vitess-3424fd6a35e3?source=topic_page---------1------------------1----------,"Once upon a time, there was a company called TubeYou. TubeYou was a video sharing platform which was expanding very rapidly. When they…",software engineering
My path towards the PSM III certificate,https://medium.com/serious-scrum/my-journey-to-psm-iii-bbb544dbc296,The PSM III certification of scrum.org is thought of to be the hardest Scrum Master certification achievable. There are — at the time of…,software engineering
What is Domain Driven Design (DDD) — Part 1,https://medium.com/missguidedtechblog/what-is-domain-driven-design-ddd-part-1-afd94b72045d,As with anything DDD is not a silver bullet. It won’t suit everyone and their styles and you don’t need to use all of it. My style tends to…,software engineering
How to secure your Kubernetes control plane and node components,https://amitashwini.medium.com/how-to-secure-your-kubernetes-control-plane-and-node-components-52c8d4dca854?source=topic_page---------5------------------1----------,Kubernetes is an open-source container orchestration platform designed to run distributed services and applications at scale. A K8s or…,software engineering
"Decision, Dilemma, Risk Taking",https://medium.com/compass-true-north/decision-dilemma-risk-taking-955b16135ebe,"By Arup Sarkar, Manoj Sarwa, Mrunal Lohia, Nabarun Mondal, Vivek Viswanathan.",software engineering
Brief Primer CDK,https://medium.com/kreuzwerker-gmbh/tagged/cdk,Some might say that the AWS Cloud Development Kit (CDK) is just a “glorified wrapper” on top of AWS CloudFormation but it is more than…,software engineering
You Ansible Killer!,https://medium.com/dynamic-python/you-ansible-killer-edb2eb260f77,This is how I killed Ansible and solved some Docker Orchestration issues with WebDAV of all things.,software engineering
The 3 Types of  Software Development Interviews,https://leriche.medium.com/the-3-types-of-software-development-interviews-695102230064?source=topic_page---------9------------------1----------,And how to prepare for each one,software engineering
"Why business-driven development must be above the choice tech stack, architecture and tools",https://voonminghann.medium.com/why-business-driven-development-must-be-above-the-choice-tech-stack-architecture-and-tools-1d0059bc52f8?source=topic_page---------10------------------1----------,We should avoid dogmatism in software development at every level of technical management and execution. Because it’s a bad engineering…,software engineering
Microservices with Orchestration and Choreography,https://medium.com/walmartglobaltech/microservices-with-orchestration-and-choreography-d09941b1b4e6,Building a modern platform for wireless order processing at Walmart,software engineering
The Best SaaS Tech Stack for your Startup Application,https://medium.com/geekculture/the-best-saas-tech-stack-for-your-startup-application-fad631dcd1a7,"Learn how to select your SaaS tech stack approach to remain agile, simplify development maintenance, and optimize costs for your startup…",software engineering
Video Game Localization Challenges & Solutions,https://medium.com/geekculture/video-game-localization-challenges-solutions-f81def2c3a6a,Video game localization is arguably one of the roughest types of localization. Handling such media-rich content and all the different…,software engineering
How to Hire an Engineering Consultant,https://productcoalition.com/how-to-hire-an-engineering-consultant-231c624af1af?source=topic_page---------14------------------1----------,"In today’s competitive business environment, technology is increasingly shaping the strategies that companies develop to try to outdo their…",software engineering
How to Git a Branch: Work Safety,https://rroycehg.medium.com/how-to-git-a-branch-work-safety-421a8320b93c?source=topic_page---------15------------------1----------,There will come a day when you will work with a team dealing with bricks of code and it will become essential that tasks are narrowed and…,software engineering
How MuleSoft Meets the Connectivity Needs of a Customer Transformation Program,https://medium.com/slalom-technology/how-mulesoft-meets-the-connectivity-needs-of-a-customer-transformation-program-8592078b3cf6,"By Rahul Pahuja, MuleSoft ​Practice Leader​ at Slalom",software engineering
Deploying a Rack app to Heroku,https://medium.com/codex/deploying-a-rack-app-to-heroku-6d160b14904c,"I recently deployed my first Rack app to Heroku. The process was far from straightforward, and I ran into many problems/errors along the…",software engineering
Mobile assets infrastructure,https://bootcamp.uxdesign.cc/mobile-assets-infrastructure-3dc641ab384e?source=topic_page---------18------------------1----------,How to build an infrastructure for shipping graphic design assets on mobile at scale?,software engineering
10 Mistakes To Avoid as a Software Development Manager,https://betterprogramming.pub/10-mistakes-to-avoid-as-a-software-development-manager-84bdf645ed7c?source=topic_page---------19------------------1----------,Speaking from experience — with a second chance in a software leadership position,software engineering
Why Queer-Inclusive DevOps Is More Effective,https://grem.medium.com/why-queer-inclusive-devops-is-more-effective-8cbf89c7f75e?source=topic_page---------20------------------1----------,AKA “The Agile Approach to Rainbows”,software engineering
Agile Mythical Man-Months — Part 1: Teams,https://grem.medium.com/agile-mythical-man-months-part-1-teams-598759f85179?source=topic_page---------21------------------1----------,A modern day agile analysis of the Mythical Man-Month and the system that almost destroyed IBM.,software engineering
Real-time delivery tracking with the Picnic Delivery Radar,https://blog.picnic.nl/real-time-delivery-tracking-with-the-picnic-delivery-radar-292555df2179?source=topic_page---------22------------------1----------,How to build an accurate delivery tracking map with fluid animations that ensures privacy?,software engineering
Behind The Scenes: Crafting Razorpay’s new mobile app,https://engineering.razorpay.com/behind-the-scenes-crafting-razorpays-new-mobile-app-80e4e8dbfe6d?source=topic_page---------23------------------1----------,How we scaled our engineering culture for the work from home world and built our new mobile app.,software engineering
How Development And Deployment of IoT In AWS Stack Can Increase Your Profit!,https://medium.com/geekculture/how-development-and-deployment-of-iot-in-aws-stack-can-increase-your-profit-65a7a11b4689,Iot or internet of things can be defined as the connectivity and exchange of data between a physical device and software by an embedded…,software engineering
Cycle Time Breakdown: Reducing PR Review Time,https://nickhodges.medium.com/cycle-time-breakdown-reducing-pr-review-time-9b4441ca3383?source=topic_page---------25------------------1----------,"As a manager of a software development team, you are always under pressure to deliver value to the customer. In order to do that more…",software engineering
How to Deliver an AI Pipeline,https://towardsdatascience.com/how-to-deliver-an-ai-pipeline-9c6fbfc29d3b?source=topic_page---------26------------------1----------,"Step by step, from idea to production",software engineering
How I Monitor Active SSH Sessions With Prometheus And Grafana,https://towardsdatascience.com/how-i-monitor-active-ssh-sessions-with-prometheus-and-grafana-f4811da0a8cc?source=topic_page---------27------------------1----------,"It’s a matter of when, not if things will happen. Better be prepared.",software engineering
Don’t panic! — A journey to the land of Spring RabbitMQ,https://medium.com/infobipdev/dont-panic-a-journey-to-the-land-of-spring-rabbitmq-861a6bb74442,"I work at Infobip on a product for marketing automation, aka customer engagement. In a nutshell it looks like this: you define a so called…",software engineering
Going From Zero to a Software Development Job,https://betterprogramming.pub/going-from-zero-to-a-software-development-job-fcbc6f614bda?source=topic_page---------29------------------1----------,It all starts with programming,software engineering
How Airbnb Built “Wall” to prevent data bugs,https://medium.com/airbnb-engineering/how-airbnb-built-wall-to-prevent-data-bugs-ad1b081d6e8f,"Gaining trust in data with extensive data quality, accuracy and anomaly checks",software engineering
Data Mesh Implementation in A Multi-Cloud Architecture,https://medium.com/capgemini-microsoft-team/data-mesh-implementation-in-a-multi-cloud-architecture-ac2a7b089789,Moving the paradigm forward by explaining how Data Mesh can be implemented in a multi-cloud architecture by using a hypothetical use case..,software engineering
7 Books Every Scrum Master Should Read,https://medium.com/serious-scrum/7-books-every-scrum-master-should-read-53b92e45730d,There are a million plus one books on Scrum out there. But where to start reading? Here is my top seven when it comes to Scrum Mastery.,software engineering
DevOps in a nutshell,https://medium.com/geekculture/devops-in-a-nutshell-e258984cc359,What is DevOps and why it matters more and more,software engineering
PayPal Native Checkout SDK for iOS and Android,https://medium.com/paypal-tech/paypal-native-checkout-sdk-for-ios-and-android-5a9853b60a21,How to use PayPal’s Native Checkout SDK for iOS and Android to produce a streamlined checkout experience in native apps.,software engineering
8 bits only: What is Cryptography?,https://aashrayanand01.medium.com/8-bits-only-what-is-cryptography-dbd201587757?source=topic_page---------35------------------1----------,"Data encryption is one of the core tenants of modern computing, and is the key to allowing for the technologies of our digital age to…",software engineering
